"run","cf","Estimate","Std. Error","t value","Pr(>|t|)","edf","F","p-value","n","r2","dev.expl"
"1","(Intercept)",0.155537372595207,0.00100934327352255,154.097596600996,0,1.35751489760224,2178.65883690429,0,2005,0.635099047708378,0.635346232578081
"1","goldblattsame",0.00305241768091042,0.000917602153912466,3.32651538348678,0.000895292079451264,1.92102436595954,11.8114846720976,5.2210551039592e-06,2005,0.0119344177981572,0.0128815725180054
"1","physdist",0.0118270022400975,0.000844243001671756,14.0090024041394,1.31409167338559e-42,1.00000017105242,185.899963898291,7.54847419344406e-41,2005,0.0844716629057776,0.0849285134515349
"1","distpc1.a",0.00064816792134515,0.00032846790949965,1.97330668415218,0.0485979572061342,1.77096488164612,2.98559355573357,0.0828396987241237,2005,0.00210961218702133,0.00299146290186604
"1","distpc2.a",0.00151431536412136,0.000530910170498832,2.85230053645148,0.00438494935392247,1.92102436595954,5.59656744554062,0.00374481807379904,2005,0.00508336282436384,0.00603708493120659
"1","distpc3.a",-0.00227031220455289,0.000252807466177958,-8.98040013958588,6.06816268616106e-19,1.88242460570104,3.6514951013233,0.0206627049146947,2005,0.00333620814894509,0.00427240797199475
"2","(Intercept)",0.154991700842461,0.00104039849382065,148.973399868435,0,1.00000024498767,3212.99941739643,0,2005,0.615797620329117,0.615989338130412
"2","goldblattsame",0.000316768100069052,0.000877826042733557,0.360855208946221,0.718245741568352,1.00000012569734,0.459709738255434,0.497837804715594,2005,-0.000269678579555288,0.000229458049342242
"2","physdist",-0.000109304354004213,0.000646372273894478,-0.169104335719167,0.865731649668587,1.00000017019411,1.23292337519948,0.266971152065636,2005,0.000116215984301449,0.000615160073218623
"2","distpc1.a",0.000711859119817895,0.000387605987131872,1.8365534678279,0.0664240088756761,1.76533295995432,2.31351149235718,0.0712746273687744,2005,0.00229423398671291,0.00317311765591423
"2","distpc2.a",4.61894710005478e-05,0.000429311590571686,0.107589620254697,0.914332006269352,1.0000002612141,1.07401716731305,0.300163716772949,2005,3.69337807223369e-05,0.00053591747704156
"2","distpc3.a",0.000384838864955072,0.000303661923745836,1.26732670401305,0.205185869167779,1.7322549525732,1.7714239307467,0.124388816402747,2005,0.00169756301472279,0.00256049432242434
"3","(Intercept)",0.155099321211739,0.00104081535734746,149.017133650884,0,1.00000074671875,3241.85421214798,0,2005,0.61791156810865,0.618102231141186
"3","goldblattsame",0.000679155543438425,0.000928751124045772,0.731256766053673,0.464707867764716,1.00000136591726,1.15672480115352,0.282273491794729,2005,7.82033947513971e-05,0.000577167048651479
"3","physdist",-0.000332092515834351,0.000648245041796203,-0.512294725639807,0.608501237839025,1.00000010646045,0.417090874117052,0.518466221925555,2005,-0.000290957426893446,0.00020818981059069
"3","distpc1.a",-0.00057980166413713,0.000354116851404556,-1.63731734831998,0.101721308348521,1.63280793036467,1.24209702587992,0.202004113466327,2005,0.0011834374921097,0.00199724767386743
"3","distpc2.a",-5.23265995657121e-06,0.000429485460424159,-0.0121835555303861,0.990280382967128,1.00000011222078,0.461571728607529,0.496968670761304,2005,-0.000268748955350118,0.000230387202936477
"3","distpc3.a",0.00054714118991289,0.000316766774806239,1.72726824095604,0.0842737148838592,1.72623980958903,5.6602557217348,0.00238729769461471,2005,0.0060860020957908,0.006942156741744
"4","(Intercept)",0.155010585663943,0.00103808611216784,149.323436511672,0,1.00000013769162,3238.82098786555,0,2005,0.617690176535545,0.617880949926815
"4","goldblattsame",6.44072413696038e-05,0.000897955670972432,0.0717265266556585,0.942826707341864,1.33735233633227,0.167116669118234,0.776408550320323,2005,-0.000243485318540015,0.00042401865450983
"4","physdist",-0.000113514870362086,0.000662726723476915,-0.171284582831585,0.864017308927833,1.60816907480816,0.780285778772869,0.465494522802334,2005,0.000291219480197724,0.00109346536075973
"4","distpc1.a",-0.000114487184707542,0.00035101596852351,-0.326159476986512,0.744337771525512,1.00000039009051,0.457772067435386,0.498744913392534,2005,-0.000270645649789847,0.000228491593646056
"4","distpc2.a",-0.000355393863686708,0.000403755687543367,-0.880220080239824,0.37884571268146,1.37784886959779,0.23238676133264,0.631041033432911,2005,-4.9589105225456e-05,0.000637994325857347
"4","distpc3.a",0.000332559256167209,0.000302402176363097,1.09972507528485,0.271584080614542,1.00000073855579,0.239221109616962,0.624823604196545,2005,-0.000379774300194757,0.000119417572628034
"5","(Intercept)",0.15505594853781,0.00105288752787366,147.267342838556,0,1.00000031814364,3166.63913409294,0,2005,0.612352205391709,0.612545642476508
"5","goldblattsame",0.000441794515820008,0.000950474080589299,0.46481490115553,0.642114538150659,1.00000015872488,0.837127699911581,0.360328884937696,2005,-8.1280049489374e-05,0.00041776258463589
"5","physdist",-0.000110683815752901,0.00068752779374629,-0.160988132784848,0.872118982298415,1.00000024841791,0.09217479468064,0.761461890966987,2005,-0.000453211853742586,4.60164199023193e-05
"5","distpc1.a",-0.000134627838946477,0.000357948157504562,-0.376109881065002,0.706875040185155,1.00000091037002,1.34742228477768,0.245865698404684,2005,0.000173336834778492,0.000672252789557877
"5","distpc2.a",7.48744303032876e-06,0.000420421311135664,0.0178093803335119,0.985792695262259,1.00000098386963,0.993863629455234,0.318918882258976,2005,-3.05986500759303e-06,0.000495944148833544
"5","distpc3.a",0.000600814819494987,0.000310003652679919,1.93808948475627,0.052752671048078,1.00000018238517,0.0192199146390637,0.889751954341352,2005,-0.000489650910898476,9.59551294666642e-06
"6","(Intercept)",0.154972774650419,0.00103791376896661,149.3118015042,0,1.00000063750213,3221.82604776169,0,2005,0.616446866876833,0.616638260777851
"6","goldblattsame",6.40987395139825e-05,0.000890091723880377,0.0720136338697123,0.942598248140118,1.20610855947406,1.92801105366501,0.212689793166919,2005,0.000651654048092198,0.00125311242830619
"6","physdist",0.00030629817032571,0.000661131462244686,0.463293895113933,0.643204069771653,1.57919382085786,0.836138694754152,0.478623180240681,2005,0.000261846055893411,0.00104966058442834
"6","distpc1.a",0.000233374434884481,0.000371108584125337,0.628857549696725,0.529514025841984,1.00000061587502,0.130359975501525,0.71809710106389,2005,-0.000434140102543834,6.50788376984182e-05
"6","distpc2.a",-0.000592065787519524,0.000413708894217075,-1.43111689353448,0.152552754863795,1.54004338185571,0.754636270641197,0.530686110955018,2005,0.00017051857792616,0.000938872258489105
"6","distpc3.a",0.000495484671659995,0.000287972821222587,1.72059526158204,0.0854788071554551,1.92102436595954,5.2311715491516,0.00444031368998619,2005,0.00483931305149499,0.00579326910322815
